subspace,experiment,anchor_layer,rank,dcm_full_rank_acc,dcm_subspace_acc,probe_full_acc,probe_proj_acc,probe_orth_acc,probe_full_baseline,probe_proj_baseline,probe_orth_baseline,probe_variable,dcm_path,basis_path
pointer_lamb0p02,answer_lookback-pointer,20,0,0.0,0.0,1.0,0.5141700404858299,1.0,0.5141700404858299,0.5141700404858299,0.5141700404858299,state_idx_when_known,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/20.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/20.pt
pointer_lamb0p02,answer_lookback-pointer,22,1,0.0,0.0,1.0,1.0,0.7258064516129032,0.5141700404858299,0.5141700404858299,0.5141700404858299,state_idx_when_known,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/22.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/22.pt
pointer_lamb0p02,answer_lookback-pointer,24,1,0.0,0.0,1.0,1.0,0.7258064516129032,0.5141700404858299,0.5141700404858299,0.5141700404858299,state_idx_when_known,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/24.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/24.pt
pointer_lamb0p02,answer_lookback-pointer,26,2,0.0,0.0,1.0,1.0,0.7741935483870968,0.5141700404858299,0.5141700404858299,0.5141700404858299,state_idx_when_known,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/26.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/26.pt
pointer_lamb0p02,answer_lookback-pointer,28,22,0.0,0.025,1.0,1.0,0.7258064516129032,0.5141700404858299,0.5141700404858299,0.5141700404858299,state_idx_when_known,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/28.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/28.pt
pointer_lamb0p02,answer_lookback-pointer,30,40,0.4,0.3875,1.0,1.0,0.8387096774193549,0.5141700404858299,0.5141700404858299,0.5141700404858299,state_idx_when_known,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/30.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/30.pt
pointer_lamb0p02,answer_lookback-pointer,32,11,0.9875,0.9875,1.0,1.0,0.8064516129032258,0.5141700404858299,0.5141700404858299,0.5141700404858299,state_idx_when_known,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/32.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/32.pt
pointer_lamb0p02,answer_lookback-pointer,34,14,0.9875,0.9875,1.0,1.0,0.7903225806451613,0.5141700404858299,0.5141700404858299,0.5141700404858299,state_idx_when_known,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/34.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/34.pt
pointer_lamb0p02,answer_lookback-pointer,36,37,0.9,0.8125,1.0,1.0,0.8709677419354839,0.5141700404858299,0.5141700404858299,0.5141700404858299,state_idx_when_known,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/36.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/36.pt
pointer_lamb0p02,answer_lookback-pointer,38,39,0.375,0.3625,1.0,1.0,0.8709677419354839,0.5141700404858299,0.5141700404858299,0.5141700404858299,state_idx_when_known,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/38.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/38.pt
pointer_lamb0p02,answer_lookback-pointer,40,51,0.2,0.1625,1.0,1.0,0.7903225806451613,0.5141700404858299,0.5141700404858299,0.5141700404858299,state_idx_when_known,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/40.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/40.pt
pointer_lamb0p02,answer_lookback-pointer,42,54,0.0125,0.0125,1.0,1.0,0.7741935483870968,0.5141700404858299,0.5141700404858299,0.5141700404858299,state_idx_when_known,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/42.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/42.pt
pointer_lamb0p02,answer_lookback-pointer,44,55,0.0,0.0125,1.0,1.0,0.7741935483870968,0.5141700404858299,0.5141700404858299,0.5141700404858299,state_idx_when_known,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/44.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/44.pt
pointer_lamb0p02,answer_lookback-pointer,46,20,0.0,0.0,1.0,0.9354838709677419,0.8387096774193549,0.5141700404858299,0.5141700404858299,0.5141700404858299,state_idx_when_known,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/46.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/46.pt
pointer_lamb0p02,answer_lookback-pointer,47,19,0.0,0.0,1.0,0.967741935483871,0.8225806451612904,0.5141700404858299,0.5141700404858299,0.5141700404858299,state_idx_when_known,/vol/results/full_dcm_svd_n80_lr0p1_pointer_lamb0p02/lamb_0p02/causalToM_novis/Qwen2.5-14B-Instruct/answer_lookback/pointer/47.json,/vol/svd_snapshots/svd_n80/answer_lookback-pointer/causalToM/last_token/singular_vecs/47.pt
