sample_idx,char_idx,obj_idx,query_pair,is_unknown,state_idx,target_state,queried_character,queried_object,question
88,0,1,1,1,-1,unknown,Ivy,tote,What does Ivy believe the tote contains?
89,1,0,2,1,-1,unknown,Tim,quart,What does Tim believe the quart contains?
90,1,0,2,1,-1,unknown,Ray,glass,What does Ray believe the glass contains?
91,1,1,3,0,1,bourbon,Mike,can,What does Mike believe the can contains?
92,0,1,1,1,-1,unknown,Ruth,can,What does Ruth believe the can contains?
93,1,1,3,0,1,ale,Chris,drum,What does Chris believe the drum contains?
94,1,1,3,0,1,coffee,Ryan,pitcher,What does Ryan believe the pitcher contains?
95,0,0,0,0,0,bourbon,Kevin,tote,What does Kevin believe the tote contains?
96,1,1,3,0,1,wine,Greg,dispenser,What does Greg believe the dispenser contains?
97,1,0,2,1,-1,unknown,Steve,jar,What does Steve believe the jar contains?
98,1,1,3,0,1,bourbon,Mary,quart,What does Mary believe the quart contains?
99,1,1,3,0,1,cocoa,Eve,quart,What does Eve believe the quart contains?
100,0,0,0,0,0,champagne,Linda,glass,What does Linda believe the glass contains?
101,1,0,2,1,-1,unknown,Quinn,dispenser,What does Quinn believe the dispenser contains?
102,0,0,0,0,0,juice,Megan,bottle,What does Megan believe the bottle contains?
103,0,1,1,1,-1,unknown,Liz,tank,What does Liz believe the tank contains?
104,1,0,2,1,-1,unknown,Beth,drum,What does Beth believe the drum contains?
105,1,0,2,1,-1,unknown,Linda,dispenser,What does Linda believe the dispenser contains?
106,1,0,2,1,-1,unknown,Matt,cup,What does Matt believe the cup contains?
107,1,1,3,0,1,wine,Neil,tun,What does Neil believe the tun contains?
108,0,0,0,0,0,rum,Jeff,drum,What does Jeff believe the drum contains?
109,0,0,0,0,0,gin,Joe,container,What does Joe believe the container contains?
110,1,1,3,0,1,water,Mike,mug,What does Mike believe the mug contains?
111,1,1,3,0,1,wine,Sam,flask,What does Sam believe the flask contains?
112,0,1,1,1,-1,unknown,Laura,bottle,What does Laura believe the bottle contains?
113,0,0,0,0,0,gin,Pete,bottle,What does Pete believe the bottle contains?
114,1,0,2,1,-1,unknown,Steve,flask,What does Steve believe the flask contains?
115,1,1,3,0,1,monster,Kyle,horn,What does Kyle believe the horn contains?
116,1,0,2,1,-1,unknown,Sam,cup,What does Sam believe the cup contains?
117,1,0,2,1,-1,unknown,Sean,drum,What does Sean believe the drum contains?
118,1,1,3,0,1,stout,Jane,dispenser,What does Jane believe the dispenser contains?
119,1,1,3,0,1,sprite,Bill,dispenser,What does Bill believe the dispenser contains?
120,1,1,3,0,1,espresso,James,pitcher,What does James believe the pitcher contains?
121,1,1,3,0,1,tea,Rose,cup,What does Rose believe the cup contains?
122,1,1,3,0,1,ale,Pete,vat,What does Pete believe the vat contains?
123,1,0,2,1,-1,unknown,Megan,vat,What does Megan believe the vat contains?
124,1,0,2,1,-1,unknown,Gwen,tank,What does Gwen believe the tank contains?
125,1,0,2,1,-1,unknown,Matt,tote,What does Matt believe the tote contains?
126,0,0,0,0,0,beer,Eve,mug,What does Eve believe the mug contains?
127,1,1,3,0,1,gin,Ben,vat,What does Ben believe the vat contains?
128,0,0,0,0,0,soda,Lily,urn,What does Lily believe the urn contains?
129,0,1,1,1,-1,unknown,Donna,pint,What does Donna believe the pint contains?
130,0,1,1,1,-1,unknown,Greg,container,What does Greg believe the container contains?
131,1,1,3,0,1,punch,Jack,pint,What does Jack believe the pint contains?
132,1,0,2,1,-1,unknown,Laura,bottle,What does Laura believe the bottle contains?
133,0,1,1,1,-1,unknown,Olivia,horn,What does Olivia believe the horn contains?
134,1,0,2,1,-1,unknown,Cathy,vat,What does Cathy believe the vat contains?
135,0,0,0,0,0,espresso,Doug,jar,What does Doug believe the jar contains?
136,1,0,2,1,-1,unknown,Sara,can,What does Sara believe the can contains?
137,1,0,2,1,-1,unknown,Jim,tank,What does Jim believe the tank contains?
138,1,0,2,1,-1,unknown,Donna,bottle,What does Donna believe the bottle contains?
139,1,0,2,1,-1,unknown,Charlie,glass,What does Charlie believe the glass contains?
140,0,0,0,0,0,cocktail,Carl,cup,What does Carl believe the cup contains?
141,1,0,2,1,-1,unknown,Ian,drum,What does Ian believe the drum contains?
142,1,1,3,0,1,stout,Bill,bottle,What does Bill believe the bottle contains?
143,0,0,0,0,0,rum,Linda,jar,What does Linda believe the jar contains?
144,1,1,3,0,1,espresso,Kim,flask,What does Kim believe the flask contains?
145,1,1,3,0,1,wine,Anna,dispenser,What does Anna believe the dispenser contains?
146,1,0,2,1,-1,unknown,Rick,flask,What does Rick believe the flask contains?
147,0,1,1,1,-1,unknown,Mark,tote,What does Mark believe the tote contains?
148,0,0,0,0,0,gin,Dave,jug,What does Dave believe the jug contains?
149,1,0,2,1,-1,unknown,Lisa,cup,What does Lisa believe the cup contains?
150,0,1,1,1,-1,unknown,Bob,tun,What does Bob believe the tun contains?
151,1,1,3,0,1,sprite,Henry,pitcher,What does Henry believe the pitcher contains?
152,1,1,3,0,1,wine,Pete,mug,What does Pete believe the mug contains?
153,0,1,1,1,-1,unknown,Bob,jar,What does Bob believe the jar contains?
154,1,0,2,1,-1,unknown,Jim,can,What does Jim believe the can contains?
155,1,0,2,1,-1,unknown,Sean,dispenser,What does Sean believe the dispenser contains?
156,1,0,2,1,-1,unknown,Donna,container,What does Donna believe the container contains?
157,0,0,0,0,0,sprite,Rachel,cup,What does Rachel believe the cup contains?
158,1,0,2,1,-1,unknown,Rachel,horn,What does Rachel believe the horn contains?
159,1,0,2,1,-1,unknown,Sue,glass,What does Sue believe the glass contains?
160,1,0,2,1,-1,unknown,Peter,jug,What does Peter believe the jug contains?
161,1,0,2,1,-1,unknown,Peter,tank,What does Peter believe the tank contains?
162,0,0,0,0,0,stout,Neil,mug,What does Neil believe the mug contains?
163,0,0,0,0,0,port,Sara,bottle,What does Sara believe the bottle contains?
164,0,1,1,1,-1,unknown,Heidi,pint,What does Heidi believe the pint contains?
165,0,0,0,0,0,juice,Kate,tank,What does Kate believe the tank contains?
166,0,1,1,1,-1,unknown,Beth,drum,What does Beth believe the drum contains?
167,1,1,3,0,1,tea,Cathy,vat,What does Cathy believe the vat contains?
168,0,0,0,0,0,beer,Chad,vat,What does Chad believe the vat contains?
169,0,0,0,0,0,cocoa,Nick,vat,What does Nick believe the vat contains?
170,1,0,2,1,-1,unknown,Rose,tun,What does Rose believe the tun contains?
171,1,1,3,0,1,soda,James,flute,What does James believe the flute contains?
172,1,0,2,1,-1,unknown,Sam,vat,What does Sam believe the vat contains?
173,1,0,2,1,-1,unknown,Laura,glass,What does Laura believe the glass contains?
174,1,1,3,0,1,beer,Kevin,horn,What does Kevin believe the horn contains?
175,1,0,2,1,-1,unknown,Ken,can,What does Ken believe the can contains?
176,0,0,0,0,0,beer,Bob,mug,What does Bob believe the mug contains?
177,1,1,3,0,1,beer,Uma,pint,What does Uma believe the pint contains?
178,1,1,3,0,1,float,Jane,cup,What does Jane believe the cup contains?
179,1,0,2,1,-1,unknown,Max,vat,What does Max believe the vat contains?
180,0,1,1,1,-1,unknown,Ivy,quart,What does Ivy believe the quart contains?
181,0,1,1,1,-1,unknown,Uma,container,What does Uma believe the container contains?
182,0,0,0,0,0,champagne,Josh,can,What does Josh believe the can contains?
183,0,0,0,0,0,soda,Kate,horn,What does Kate believe the horn contains?
184,1,0,2,1,-1,unknown,Doug,jug,What does Doug believe the jug contains?
185,0,0,0,0,0,float,Peter,pint,What does Peter believe the pint contains?
186,1,1,3,0,1,tea,Jane,cup,What does Jane believe the cup contains?
187,1,0,2,1,-1,unknown,Tim,dispenser,What does Tim believe the dispenser contains?
188,1,1,3,0,1,beer,Keith,quart,What does Keith believe the quart contains?
189,0,0,0,0,0,wine,Doug,flask,What does Doug believe the flask contains?
190,1,0,2,1,-1,unknown,Emma,jug,What does Emma believe the jug contains?
191,0,1,1,1,-1,unknown,Dean,pitcher,What does Dean believe the pitcher contains?
192,0,1,1,1,-1,unknown,Frank,tun,What does Frank believe the tun contains?
193,1,1,3,0,1,stout,Tim,horn,What does Tim believe the horn contains?
194,1,1,3,0,1,float,Rose,pint,What does Rose believe the pint contains?
195,1,0,2,1,-1,unknown,Ruth,glass,What does Ruth believe the glass contains?
196,0,0,0,0,0,champagne,Adam,pint,What does Adam believe the pint contains?
197,0,0,0,0,0,cocktail,Doug,jug,What does Doug believe the jug contains?
198,0,0,0,0,0,juice,Ivy,can,What does Ivy believe the can contains?
199,1,1,3,0,1,port,Luke,dispenser,What does Luke believe the dispenser contains?
200,1,1,3,0,1,sprite,Olivia,urn,What does Olivia believe the urn contains?
201,0,1,1,1,-1,unknown,Steve,cup,What does Steve believe the cup contains?
202,0,0,0,0,0,cocktail,Nancy,cup,What does Nancy believe the cup contains?
203,0,1,1,1,-1,unknown,Rob,horn,What does Rob believe the horn contains?
204,0,0,0,0,0,float,Max,jug,What does Max believe the jug contains?
205,0,0,0,0,0,monster,Tina,pint,What does Tina believe the pint contains?
206,0,1,1,1,-1,unknown,Chris,container,What does Chris believe the container contains?
207,0,1,1,1,-1,unknown,Peter,tun,What does Peter believe the tun contains?
208,1,1,3,0,1,punch,Scott,tank,What does Scott believe the tank contains?
209,0,1,1,1,-1,unknown,Greg,flute,What does Greg believe the flute contains?
210,0,1,1,1,-1,unknown,John,flute,What does John believe the flute contains?
211,0,1,1,1,-1,unknown,Uma,pint,What does Uma believe the pint contains?
212,0,1,1,1,-1,unknown,Keith,quart,What does Keith believe the quart contains?
213,1,0,2,1,-1,unknown,Ray,jug,What does Ray believe the jug contains?
214,1,0,2,1,-1,unknown,Luke,tank,What does Luke believe the tank contains?
215,0,1,1,1,-1,unknown,Sam,pitcher,What does Sam believe the pitcher contains?
216,1,1,3,0,1,float,Ian,bottle,What does Ian believe the bottle contains?
217,1,1,3,0,1,coffee,Fred,flask,What does Fred believe the flask contains?
218,0,0,0,0,0,monster,Nancy,flask,What does Nancy believe the flask contains?
219,1,1,3,0,1,stout,Eric,can,What does Eric believe the can contains?
220,0,1,1,1,-1,unknown,Eve,glass,What does Eve believe the glass contains?
221,1,1,3,0,1,wine,Keith,tun,What does Keith believe the tun contains?
222,0,1,1,1,-1,unknown,Josh,horn,What does Josh believe the horn contains?
223,1,0,2,1,-1,unknown,Peter,bottle,What does Peter believe the bottle contains?
224,1,1,3,0,1,soda,Karen,dispenser,What does Karen believe the dispenser contains?
225,0,1,1,1,-1,unknown,Rob,jar,What does Rob believe the jar contains?
226,0,0,0,0,0,rum,Pete,flask,What does Pete believe the flask contains?
227,1,0,2,1,-1,unknown,Charlie,tote,What does Charlie believe the tote contains?
228,1,1,3,0,1,soda,Keith,bottle,What does Keith believe the bottle contains?
229,0,0,0,0,0,port,Dean,quart,What does Dean believe the quart contains?
230,0,1,1,1,-1,unknown,Doug,vat,What does Doug believe the vat contains?
231,0,1,1,1,-1,unknown,Lily,horn,What does Lily believe the horn contains?
232,0,1,1,1,-1,unknown,Sara,bottle,What does Sara believe the bottle contains?
233,0,1,1,1,-1,unknown,Rachel,tank,What does Rachel believe the tank contains?
234,1,0,2,1,-1,unknown,Jack,container,What does Jack believe the container contains?
235,1,1,3,0,1,champagne,Anna,jug,What does Anna believe the jug contains?
236,1,1,3,0,1,coffee,Lily,cup,What does Lily believe the cup contains?
237,1,1,3,0,1,beer,Lee,pint,What does Lee believe the pint contains?
238,1,1,3,0,1,juice,Will,horn,What does Will believe the horn contains?
239,0,1,1,1,-1,unknown,Peter,can,What does Peter believe the can contains?
240,0,1,1,1,-1,unknown,Eric,flask,What does Eric believe the flask contains?
241,1,0,2,1,-1,unknown,Rick,flask,What does Rick believe the flask contains?
242,1,1,3,0,1,cocktail,Jeff,urn,What does Jeff believe the urn contains?
243,1,1,3,0,1,stout,Steve,mug,What does Steve believe the mug contains?
244,1,0,2,1,-1,unknown,Julia,pitcher,What does Julia believe the pitcher contains?
245,0,0,0,0,0,cocktail,Cathy,bottle,What does Cathy believe the bottle contains?
246,0,1,1,1,-1,unknown,Jim,container,What does Jim believe the container contains?
247,0,0,0,0,0,wine,Adam,container,What does Adam believe the container contains?
248,1,1,3,0,1,gin,Sarah,tank,What does Sarah believe the tank contains?
249,0,0,0,0,0,coffee,David,flask,What does David believe the flask contains?
250,1,0,2,1,-1,unknown,Mike,urn,What does Mike believe the urn contains?
251,0,1,1,1,-1,unknown,Eve,container,What does Eve believe the container contains?
252,1,0,2,1,-1,unknown,Dave,glass,What does Dave believe the glass contains?
253,0,0,0,0,0,cocoa,Wayne,drum,What does Wayne believe the drum contains?
254,1,0,2,1,-1,unknown,John,horn,What does John believe the horn contains?
255,1,0,2,1,-1,unknown,Olivia,container,What does Olivia believe the container contains?
256,1,0,2,1,-1,unknown,Eve,container,What does Eve believe the container contains?
257,0,1,1,1,-1,unknown,Neil,flask,What does Neil believe the flask contains?
258,1,0,2,1,-1,unknown,Alice,mug,What does Alice believe the mug contains?
259,0,0,0,0,0,tea,Matt,tote,What does Matt believe the tote contains?
260,0,0,0,0,0,champagne,Gary,tote,What does Gary believe the tote contains?
261,0,1,1,1,-1,unknown,Diane,drum,What does Diane believe the drum contains?
262,1,1,3,0,1,bourbon,Charlie,dispenser,What does Charlie believe the dispenser contains?
263,0,0,0,0,0,cocoa,Jack,horn,What does Jack believe the horn contains?
264,0,1,1,1,-1,unknown,Jeff,urn,What does Jeff believe the urn contains?
265,0,1,1,1,-1,unknown,Ben,horn,What does Ben believe the horn contains?
266,0,0,0,0,0,cocoa,Hans,glass,What does Hans believe the glass contains?
267,0,1,1,1,-1,unknown,Lee,tote,What does Lee believe the tote contains?
268,1,1,3,0,1,sprite,Greg,jug,What does Greg believe the jug contains?
269,1,0,2,1,-1,unknown,Ryan,jar,What does Ryan believe the jar contains?
270,1,1,3,0,1,rum,Bill,cup,What does Bill believe the cup contains?
271,1,1,3,0,1,soda,Fred,glass,What does Fred believe the glass contains?
272,0,1,1,1,-1,unknown,Joe,cup,What does Joe believe the cup contains?
273,1,0,2,1,-1,unknown,Alice,mug,What does Alice believe the mug contains?
274,1,0,2,1,-1,unknown,Ellen,horn,What does Ellen believe the horn contains?
275,0,0,0,0,0,monster,Anna,vat,What does Anna believe the vat contains?
276,0,0,0,0,0,monster,Rachel,pint,What does Rachel believe the pint contains?
277,1,1,3,0,1,float,Rob,pitcher,What does Rob believe the pitcher contains?
278,1,1,3,0,1,port,Keith,dispenser,What does Keith believe the dispenser contains?
279,1,0,2,1,-1,unknown,Peter,pint,What does Peter believe the pint contains?
280,0,1,1,1,-1,unknown,Sam,drum,What does Sam believe the drum contains?
281,0,0,0,0,0,punch,Gary,container,What does Gary believe the container contains?
282,1,1,3,0,1,cocoa,Laura,jug,What does Laura believe the jug contains?
283,1,0,2,1,-1,unknown,Ian,jug,What does Ian believe the jug contains?
284,1,1,3,0,1,champagne,Rachel,jug,What does Rachel believe the jug contains?
285,1,1,3,0,1,bourbon,Mike,tank,What does Mike believe the tank contains?
286,1,0,2,1,-1,unknown,Jack,jug,What does Jack believe the jug contains?
287,1,1,3,0,1,sprite,Luke,jug,What does Luke believe the jug contains?
288,1,1,3,0,1,port,Uma,flask,What does Uma believe the flask contains?
289,0,1,1,1,-1,unknown,Kim,flask,What does Kim believe the flask contains?
290,1,1,3,0,1,bourbon,Sue,dispenser,What does Sue believe the dispenser contains?
291,0,0,0,0,0,wine,Rachel,tote,What does Rachel believe the tote contains?
292,0,0,0,0,0,porter,Lee,tun,What does Lee believe the tun contains?
293,1,0,2,1,-1,unknown,Eve,pitcher,What does Eve believe the pitcher contains?
294,0,0,0,0,0,stout,Jane,pint,What does Jane believe the pint contains?
295,0,1,1,1,-1,unknown,Fred,pitcher,What does Fred believe the pitcher contains?
296,1,0,2,1,-1,unknown,Ryan,pitcher,What does Ryan believe the pitcher contains?
297,0,1,1,1,-1,unknown,Scott,tank,What does Scott believe the tank contains?
298,1,0,2,1,-1,unknown,Megan,glass,What does Megan believe the glass contains?
299,0,0,0,0,0,port,Beth,pint,What does Beth believe the pint contains?
300,0,1,1,1,-1,unknown,Rob,tun,What does Rob believe the tun contains?
301,0,0,0,0,0,sprite,Ken,pitcher,What does Ken believe the pitcher contains?
302,1,0,2,1,-1,unknown,Jean,bottle,What does Jean believe the bottle contains?
303,0,1,1,1,-1,unknown,Oscar,bottle,What does Oscar believe the bottle contains?
304,0,1,1,1,-1,unknown,John,vat,What does John believe the vat contains?
305,0,1,1,1,-1,unknown,Peter,container,What does Peter believe the container contains?
306,1,0,2,1,-1,unknown,Eric,quart,What does Eric believe the quart contains?
307,1,0,2,1,-1,unknown,Chris,tote,What does Chris believe the tote contains?
308,0,0,0,0,0,monster,Mark,cup,What does Mark believe the cup contains?
309,1,0,2,1,-1,unknown,Sarah,urn,What does Sarah believe the urn contains?
310,1,1,3,0,1,monster,Tina,urn,What does Tina believe the urn contains?
311,0,1,1,1,-1,unknown,Mark,urn,What does Mark believe the urn contains?
312,1,1,3,0,1,milk,Dean,drum,What does Dean believe the drum contains?
313,0,1,1,1,-1,unknown,Laura,cup,What does Laura believe the cup contains?
314,1,1,3,0,1,punch,Tom,tun,What does Tom believe the tun contains?
315,0,0,0,0,0,stout,Paul,tank,What does Paul believe the tank contains?
316,0,1,1,1,-1,unknown,Fred,flute,What does Fred believe the flute contains?
317,0,0,0,0,0,bourbon,Nancy,tank,What does Nancy believe the tank contains?
318,0,1,1,1,-1,unknown,Zoe,can,What does Zoe believe the can contains?
319,0,0,0,0,0,coffee,Rob,jar,What does Rob believe the jar contains?
320,1,0,2,1,-1,unknown,Sam,cup,What does Sam believe the cup contains?
321,0,1,1,1,-1,unknown,Helen,flute,What does Helen believe the flute contains?
322,0,1,1,1,-1,unknown,Max,bottle,What does Max believe the bottle contains?
323,1,1,3,0,1,juice,Liz,tank,What does Liz believe the tank contains?
324,1,1,3,0,1,champagne,Kim,horn,What does Kim believe the horn contains?
325,0,0,0,0,0,bourbon,Fiona,horn,What does Fiona believe the horn contains?
326,1,1,3,0,1,bourbon,Alex,urn,What does Alex believe the urn contains?
327,0,1,1,1,-1,unknown,Uma,horn,What does Uma believe the horn contains?
328,0,0,0,0,0,tea,Lisa,urn,What does Lisa believe the urn contains?
329,0,0,0,0,0,milk,Gwen,tote,What does Gwen believe the tote contains?
330,0,0,0,0,0,water,Jack,pint,What does Jack believe the pint contains?
331,0,1,1,1,-1,unknown,Will,bottle,What does Will believe the bottle contains?
332,1,1,3,0,1,cocoa,Eve,flask,What does Eve believe the flask contains?
333,1,1,3,0,1,beer,Wayne,dispenser,What does Wayne believe the dispenser contains?
334,0,0,0,0,0,milk,Tony,pint,What does Tony believe the pint contains?
335,1,0,2,1,-1,unknown,Oscar,tank,What does Oscar believe the tank contains?
336,1,1,3,0,1,wine,Scott,horn,What does Scott believe the horn contains?
337,1,0,2,1,-1,unknown,Joe,dispenser,What does Joe believe the dispenser contains?
338,0,0,0,0,0,juice,Rachel,tank,What does Rachel believe the tank contains?
339,0,0,0,0,0,espresso,Frank,cup,What does Frank believe the cup contains?
340,1,0,2,1,-1,unknown,Fiona,jar,What does Fiona believe the jar contains?
341,0,0,0,0,0,ale,Susan,tote,What does Susan believe the tote contains?
342,1,1,3,0,1,monster,Eve,jar,What does Eve believe the jar contains?
343,0,0,0,0,0,beer,Jake,tun,What does Jake believe the tun contains?
344,1,0,2,1,-1,unknown,Susan,vat,What does Susan believe the vat contains?
345,0,1,1,1,-1,unknown,Peter,drum,What does Peter believe the drum contains?
346,1,1,3,0,1,punch,Diane,cup,What does Diane believe the cup contains?
347,0,1,1,1,-1,unknown,Eve,jar,What does Eve believe the jar contains?
348,0,0,0,0,0,beer,Ruth,pint,What does Ruth believe the pint contains?
349,0,1,1,1,-1,unknown,David,dispenser,What does David believe the dispenser contains?
350,0,0,0,0,0,champagne,Helen,cup,What does Helen believe the cup contains?
351,0,1,1,1,-1,unknown,Jane,mug,What does Jane believe the mug contains?
352,0,1,1,1,-1,unknown,Jim,horn,What does Jim believe the horn contains?
353,1,1,3,0,1,champagne,Ellen,bottle,What does Ellen believe the bottle contains?
354,1,1,3,0,1,wine,Charlie,urn,What does Charlie believe the urn contains?
355,1,0,2,1,-1,unknown,Tom,drum,What does Tom believe the drum contains?
356,0,1,1,1,-1,unknown,Ben,can,What does Ben believe the can contains?
357,1,1,3,0,1,rum,Wayne,mug,What does Wayne believe the mug contains?
358,1,1,3,0,1,juice,Gwen,flute,What does Gwen believe the flute contains?
359,1,0,2,1,-1,unknown,Keith,tun,What does Keith believe the tun contains?
360,1,1,3,0,1,rum,Sara,horn,What does Sara believe the horn contains?
361,0,1,1,1,-1,unknown,Chad,bottle,What does Chad believe the bottle contains?
362,0,0,0,0,0,gin,Gary,can,What does Gary believe the can contains?
363,0,1,1,1,-1,unknown,Gary,tun,What does Gary believe the tun contains?
364,1,0,2,1,-1,unknown,Chris,container,What does Chris believe the container contains?
365,1,1,3,0,1,float,Emma,horn,What does Emma believe the horn contains?
366,1,0,2,1,-1,unknown,Scott,tun,What does Scott believe the tun contains?
367,1,0,2,1,-1,unknown,Olivia,pitcher,What does Olivia believe the pitcher contains?
